Sample,Histone_Mark,Tool,State,Peak_Count,State_Bp,Overlap_Bp,Enrichment_Score
SRR31972716,H3K27ac,GoPeaks,11_BivFlnk,1649,302634,91000,57.7512
SRR31972716,H3K27ac,GoPeaks,4_Tx,1649,80021415,3099000,7.4379
SRR31972716,H3K27ac,GoPeaks,9_Het,1649,19735745,887000,8.6319
SRR31972716,H3K27ac,GoPeaks,15_Quies,1649,1872511958,3630000,0.3723
SRR31972716,H3K27ac,GoPeaks,10_TssBiv,1649,309061,27000,16.7786
SRR31972716,H3K27ac,GoPeaks,5_TxWk,1649,332621608,11632000,6.7165
SRR31972716,H3K27ac,GoPeaks,7_Enh,1649,85193746,21845000,49.2472
SRR31972716,H3K27ac,GoPeaks,13_ReprPC,1649,22438620,143000,1.2240
SRR31972716,H3K27ac,GoPeaks,3_TxFlnk,1649,5328410,11597000,418.0085
SRR31972716,H3K27ac,GoPeaks,8_ZNF/Rpts,1649,4187737,1433000,65.7210
SRR31972716,H3K27ac,GoPeaks,14_ReprPCWk,1649,353341693,696000,0.3783
SRR31972716,H3K27ac,GoPeaks,6_EnhG,1649,16260772,9382000,110.8132
SRR31972716,H3K27ac,GoPeaks,1_TssA,1649,23697787,17613000,142.7456
SRR31972716,H3K27ac,GoPeaks,12_EnhBiv,1649,1536844,135000,16.8710
SRR31972716,H3K27ac,GoPeaks,2_TssAFlnk,1649,22504393,29946000,255.5693
SRR31972718,H3K27ac,GoPeaks,11_BivFlnk,1812,302634,64000,36.5324
SRR31972718,H3K27ac,GoPeaks,4_Tx,1812,80021415,3887000,8.3912
SRR31972718,H3K27ac,GoPeaks,9_Het,1812,19735745,1201000,10.5125
SRR31972718,H3K27ac,GoPeaks,15_Quies,1812,1872511958,5117000,0.4721
SRR31972718,H3K27ac,GoPeaks,10_TssBiv,1812,309061,0,0.0000
SRR31972718,H3K27ac,GoPeaks,5_TxWk,1812,332621608,14849000,7.7119
SRR31972718,H3K27ac,GoPeaks,7_Enh,1812,85193746,26014000,52.7491
SRR31972718,H3K27ac,GoPeaks,13_ReprPC,1812,22438620,221000,1.7014
SRR31972718,H3K27ac,GoPeaks,3_TxFlnk,1812,5328410,12021000,389.7251
SRR31972718,H3K27ac,GoPeaks,8_ZNF/Rpts,1812,4187737,2073000,85.5136
SRR31972718,H3K27ac,GoPeaks,14_ReprPCWk,1812,353341693,914000,0.4469
SRR31972718,H3K27ac,GoPeaks,6_EnhG,1812,16260772,10881000,115.5961
SRR31972718,H3K27ac,GoPeaks,1_TssA,1812,23697787,19117000,139.3565
SRR31972718,H3K27ac,GoPeaks,12_EnhBiv,1812,1536844,142000,15.9615
SRR31972718,H3K27ac,GoPeaks,2_TssAFlnk,1812,22504393,33476000,256.9695
SRR31972719,H3K27ac,GoPeaks,11_BivFlnk,7684,302634,534000,65.3537
SRR31972719,H3K27ac,GoPeaks,4_Tx,7684,80021415,36216000,16.7626
SRR31972719,H3K27ac,GoPeaks,9_Het,7684,19735745,3214000,6.0317
SRR31972719,H3K27ac,GoPeaks,15_Quies,7684,1872511958,29545000,0.5844
SRR31972719,H3K27ac,GoPeaks,10_TssBiv,7684,309061,116000,13.9015
SRR31972719,H3K27ac,GoPeaks,5_TxWk,7684,332621608,124635000,13.8783
SRR31972719,H3K27ac,GoPeaks,7_Enh,7684,85193746,174027000,75.6581
SRR31972719,H3K27ac,GoPeaks,13_ReprPC,7684,22438620,1037000,1.7117
SRR31972719,H3K27ac,GoPeaks,3_TxFlnk,7684,5328410,58084000,403.7433
SRR31972719,H3K27ac,GoPeaks,8_ZNF/Rpts,7684,4187737,5341000,47.2378
SRR31972719,H3K27ac,GoPeaks,14_ReprPCWk,7684,353341693,5220000,0.5472
SRR31972719,H3K27ac,GoPeaks,6_EnhG,7684,16260772,71048000,161.8293
SRR31972719,H3K27ac,GoPeaks,1_TssA,7684,23697787,107141000,167.4535
SRR31972719,H3K27ac,GoPeaks,12_EnhBiv,7684,1536844,1105000,26.6305
SRR31972719,H3K27ac,GoPeaks,2_TssAFlnk,7684,22504393,190723000,313.8934
SRR31972720,H3K27ac,GoPeaks,11_BivFlnk,15346,302634,9219000,463.4091
