Sample,Histone_Mark,Tool,State,Peak_Count,State_Bp,Overlap_Bp,Enrichment_Score
SRR31972716,H3K27ac,MACS2,11_BivFlnk,762,302634,0,0.0000
SRR31972716,H3K27ac,MACS2,4_Tx,762,80021415,17766,2.1524
SRR31972716,H3K27ac,MACS2,9_Het,762,19735745,22948,11.2730
SRR31972716,H3K27ac,MACS2,15_Quies,762,1872511958,45409,0.2351
SRR31972716,H3K27ac,MACS2,10_TssBiv,762,309061,0,0.0000
SRR31972716,H3K27ac,MACS2,5_TxWk,762,332621608,31288,0.9120
SRR31972716,H3K27ac,MACS2,7_Enh,762,85193746,5005,0.5696
SRR31972716,H3K27ac,MACS2,13_ReprPC,762,22438620,487,0.2104
SRR31972716,H3K27ac,MACS2,3_TxFlnk,762,5328410,24353,44.3102
SRR31972716,H3K27ac,MACS2,8_ZNF/Rpts,762,4187737,25004,57.8867
SRR31972716,H3K27ac,MACS2,14_ReprPCWk,762,353341693,3322,0.0911
SRR31972716,H3K27ac,MACS2,6_EnhG,762,16260772,215,0.1282
SRR31972716,H3K27ac,MACS2,1_TssA,762,23697787,86029,35.1954
SRR31972716,H3K27ac,MACS2,12_EnhBiv,762,1536844,273,1.7222
SRR31972716,H3K27ac,MACS2,2_TssAFlnk,762,22504393,61176,26.3550
SRR31972718,H3K27ac,MACS2,11_BivFlnk,942,302634,0,0.0000
SRR31972718,H3K27ac,MACS2,4_Tx,942,80021415,18248,1.7569
SRR31972718,H3K27ac,MACS2,9_Het,942,19735745,23260,9.0803
SRR31972718,H3K27ac,MACS2,15_Quies,942,1872511958,54278,0.2233
SRR31972718,H3K27ac,MACS2,10_TssBiv,942,309061,0,0.0000
SRR31972718,H3K27ac,MACS2,5_TxWk,942,332621608,36143,0.8372
SRR31972718,H3K27ac,MACS2,7_Enh,942,85193746,10700,0.9677
SRR31972718,H3K27ac,MACS2,13_ReprPC,942,22438620,1330,0.4567
SRR31972718,H3K27ac,MACS2,3_TxFlnk,942,5328410,20405,29.5042
SRR31972718,H3K27ac,MACS2,8_ZNF/Rpts,942,4187737,26973,49.6244
SRR31972718,H3K27ac,MACS2,14_ReprPCWk,942,353341693,5884,0.1283
SRR31972718,H3K27ac,MACS2,6_EnhG,942,16260772,1628,0.7714
SRR31972718,H3K27ac,MACS2,1_TssA,942,23697787,111937,36.3924
SRR31972718,H3K27ac,MACS2,12_EnhBiv,942,1536844,362,1.8148
SRR31972718,H3K27ac,MACS2,2_TssAFlnk,942,22504393,85435,29.2492
SRR31972719,H3K27ac,MACS2,11_BivFlnk,4679,302634,654,2.8072
SRR31972719,H3K27ac,MACS2,4_Tx,4679,80021415,19857,0.3223
SRR31972719,H3K27ac,MACS2,9_Het,4679,19735745,17898,1.1780
SRR31972719,H3K27ac,MACS2,15_Quies,4679,1872511958,138875,0.0963
SRR31972719,H3K27ac,MACS2,10_TssBiv,4679,309061,1033,4.3417
SRR31972719,H3K27ac,MACS2,5_TxWk,4679,332621608,67016,0.2617
SRR31972719,H3K27ac,MACS2,7_Enh,4679,85193746,110853,1.6902
SRR31972719,H3K27ac,MACS2,13_ReprPC,4679,22438620,323,0.0187
SRR31972719,H3K27ac,MACS2,3_TxFlnk,4679,5328410,301640,73.5359
SRR31972719,H3K27ac,MACS2,8_ZNF/Rpts,4679,4187737,23000,7.1344
SRR31972719,H3K27ac,MACS2,14_ReprPCWk,4679,353341693,3371,0.0124
SRR31972719,H3K27ac,MACS2,6_EnhG,4679,16260772,22310,1.7822
SRR31972719,H3K27ac,MACS2,1_TssA,4679,23697787,1453720,79.6858
SRR31972719,H3K27ac,MACS2,12_EnhBiv,4679,1536844,323,0.2730
SRR31972719,H3K27ac,MACS2,2_TssAFlnk,4679,22504393,801142,46.2435
SRR31972720,H3K27ac,MACS2,11_BivFlnk,11687,302634,3218,5.2556
SRR31972720,H3K27ac,MACS2,4_Tx,11687,80021415,28772,0.1777
SRR31972720,H3K27ac,MACS2,9_Het,11687,19735745,22441,0.5620
SRR31972720,H3K27ac,MACS2,15_Quies,11687,1872511958,407955,0.1077
SRR31972720,H3K27ac,MACS2,10_TssBiv,11687,309061,2034,3.2529
SRR31972720,H3K27ac,MACS2,5_TxWk,11687,332621608,167089,0.2483
SRR31972720,H3K27ac,MACS2,7_Enh,11687,85193746,850382,4.9336
SRR31972720,H3K27ac,MACS2,13_ReprPC,11687,22438620,4896,0.1078
SRR31972720,H3K27ac,MACS2,3_TxFlnk,11687,5328410,672166,62.3500
SRR31972720,H3K27ac,MACS2,8_ZNF/Rpts,11687,4187737,35734,4.2175
SRR31972720,H3K27ac,MACS2,14_ReprPCWk,11687,353341693,20576,0.0288
SRR31972720,H3K27ac,MACS2,6_EnhG,11687,16260772,164294,4.9939
SRR31972720,H3K27ac,MACS2,1_TssA,11687,23697787,3242826,67.6353
SRR31972720,H3K27ac,MACS2,12_EnhBiv,11687,1536844,4352,1.3996
SRR31972720,H3K27ac,MACS2,2_TssAFlnk,11687,22504393,2685386,58.9789
SRR31972727,H3K27ac,MACS2,11_BivFlnk,2109,302634,355,4.1536
SRR31972727,H3K27ac,MACS2,4_Tx,2109,80021415,24399,1.0796
SRR31972727,H3K27ac,MACS2,9_Het,2109,19735745,26495,4.7536
SRR31972727,H3K27ac,MACS2,15_Quies,2109,1872511958,172854,0.3269
SRR31972727,H3K27ac,MACS2,10_TssBiv,2109,309061,494,5.6597
SRR31972727,H3K27ac,MACS2,5_TxWk,2109,332621608,103779,1.1048
SRR31972727,H3K27ac,MACS2,7_Enh,2109,85193746,44582,1.8530
SRR31972727,H3K27ac,MACS2,13_ReprPC,2109,22438620,1860,0.2935
SRR31972727,H3K27ac,MACS2,3_TxFlnk,2109,5328410,16949,11.2631
SRR31972727,H3K27ac,MACS2,8_ZNF/Rpts,2109,4187737,32470,27.4546
SRR31972727,H3K27ac,MACS2,14_ReprPCWk,2109,353341693,27948,0.2801
SRR31972727,H3K27ac,MACS2,6_EnhG,2109,16260772,5766,1.2556
