Sample,Histone_Mark,Tool,Total_Peaks,ENCODE_Overlap,Recall_%,Precision_%
SRR31972716,H3K27ac,MACS2,762,385,0.75,50.52
SRR31972716,H3K27ac,GoPeaks,1649,1399,2.73,84.84
SRR31972716,H3K27ac,SEACR_Stringent,4644,3771,7.37,81.20
SRR31972716,H3K27ac,SEACR_Relaxed,479923,49407,96.57,10.29
SRR31972718,H3K27ac,MACS2,942,536,1.05,56.90
SRR31972719,H3K27ac,MACS2,4679,4065,7.95,86.88
SRR31972718,H3K27ac,GoPeaks,1812,1514,2.96,83.55
SRR31972719,H3K27ac,GoPeaks,7684,7099,13.88,92.39
SRR31972718,H3K27ac,SEACR_Stringent,4758,3939,7.70,82.79
SRR31972718,H3K27ac,SEACR_Relaxed,489622,48822,95.43,9.97
SRR31972719,H3K27ac,SEACR_Stringent,5262,4818,9.42,91.56
SRR31972719,H3K27ac,SEACR_Relaxed,543081,61070,119.37,11.25
SRR31972721,H3K27ac,MACS2,7969,6736,13.17,84.53
SRR31972722,H3K27ac,MACS2,11149,7251,14.17,65.04
SRR31972721,H3K27ac,GoPeaks,6900,6415,12.54,92.97
SRR31972722,H3K27ac,GoPeaks,19838,11235,21.96,56.63
SRR31972722,H3K27ac,SEACR_Stringent,23296,12869,25.15,55.24
SRR31972721,H3K27ac,SEACR_Stringent,4531,4100,8.01,90.49
SRR31972720,H3K27ac,MACS2,11687,9650,18.86,82.57
SRR31972720,H3K27ac,GoPeaks,15346,12175,23.80,79.34
SRR31972721,H3K27ac,SEACR_Relaxed,465034,69321,135.50,14.91
SRR31972722,H3K27ac,SEACR_Relaxed,2416408,85288,166.71,3.53
SRR31972720,H3K27ac,SEACR_Stringent,12249,10359,20.25,84.57
SRR31972720,H3K27ac,SEACR_Relaxed,1275593,65306,127.65,5.12
SRR31972723,H3K27ac,MACS2,1868,1037,2.03,55.51
SRR31972725,H3K27ac,MACS2,7383,5739,11.22,77.73
SRR31972724,H3K27ac,MACS2,19593,15228,29.77,77.72
SRR31972725,H3K27ac,GoPeaks,8721,7582,14.82,86.94
SRR31972724,H3K27ac,GoPeaks,16582,12755,24.93,76.92
SRR31972724,H3K27ac,SEACR_Stringent,10168,8964,17.52,88.16
SRR31972725,H3K27ac,SEACR_Stringent,8058,6870,13.43,85.26
SRR31972723,H3K27ac,GoPeaks,4733,4021,7.86,84.96
SRR31972723,H3K27ac,SEACR_Stringent,7455,5808,11.35,77.91
SRR31972725,H3K27ac,SEACR_Relaxed,834195,60056,117.39,7.20
SRR31972724,H3K27ac,SEACR_Relaxed,1027889,49934,97.60,4.86
SRR31972723,H3K27ac,SEACR_Relaxed,776696,67267,131.48,8.66
SRR31972727,H3K27ac,MACS2,2109,1014,1.98,48.08
SRR31972728,H3K27ac,MACS2,28291,20046,39.18,70.86
SRR31972727,H3K27ac,GoPeaks,1928,1093,2.14,56.69
SRR31972728,H3K27ac,GoPeaks,18566,13616,26.61,73.34
SRR31972727,H3K27ac,SEACR_Stringent,3347,2182,4.27,65.19
SRR31972727,H3K27ac,SEACR_Relaxed,338169,43130,84.30,12.75
SRR31972728,H3K27ac,SEACR_Stringent,10808,9467,18.50,87.59
SRR31972728,H3K27ac,SEACR_Relaxed,1015506,42118,82.33,4.15
SRR31972731,H3K27ac,MACS2,3264,2136,4.18,65.44
SRR31972729,H3K27ac,MACS2,10138,8502,16.62,83.86
SRR31972731,H3K27ac,GoPeaks,6707,5875,11.48,87.60
SRR31972729,H3K27ac,GoPeaks,10397,9125,17.84,87.77
SRR31972731,H3K27ac,SEACR_Stringent,8936,7008,13.70,78.42
SRR31972729,H3K27ac,SEACR_Stringent,10369,9123,17.83,87.98
SRR31972731,H3K27ac,SEACR_Relaxed,925815,72773,142.25,7.86
SRR31972729,H3K27ac,SEACR_Relaxed,1104814,66567,130.12,6.03
SRR31972734,H3K27ac,MACS2,1671,1382,2.70,82.70
SRR31972734,H3K27ac,GoPeaks,3858,3576,6.99,92.69
SRR31972734,H3K27ac,SEACR_Stringent,5310,4767,9.32,89.77
SRR31972732,H3K27ac,MACS2,7743,6446,12.60,83.25
SRR31972732,H3K27ac,GoPeaks,11402,10144,19.83,88.97
SRR31972732,H3K27ac,SEACR_Stringent,8189,7224,14.12,88.22
SRR31972734,H3K27ac,SEACR_Relaxed,543642,57791,112.96,10.63
SRR31972733,H3K27ac,MACS2,9598,8095,15.82,84.34
SRR31972733,H3K27ac,GoPeaks,14977,11965,23.39,79.89
SRR31972733,H3K27ac,SEACR_Stringent,11361,9771,19.10,86.00
SRR31972732,H3K27ac,SEACR_Relaxed,849517,70234,137.28,8.27
SRR31972733,H3K27ac,SEACR_Relaxed,1187055,60274,117.81,5.08
SRR31972736,H3K27ac,MACS2,1556,1287,2.52,82.71
SRR31972737,H3K27ac,MACS2,10213,6509,12.72,63.73
SRR31972736,H3K27ac,GoPeaks,3578,3286,6.42,91.84
SRR31972737,H3K27ac,GoPeaks,19154,11100,21.70,57.95
SRR31972736,H3K27ac,SEACR_Stringent,5238,4688,9.16,89.50
SRR31972737,H3K27ac,SEACR_Stringent,16949,9988,19.52,58.93
SRR31972737,H3K27ac,SEACR_Relaxed,1753071,69095,135.06,3.94
SRR31972736,H3K27ac,SEACR_Relaxed,537202,57199,111.80,10.65
SRR31972740,H3K27ac,MACS2,29125,21574,42.17,74.07
SRR31972740,H3K27ac,GoPeaks,16740,13233,25.87,79.05
SRR31972740,H3K27ac,SEACR_Stringent,13318,12210,23.87,91.68
SRR31972740,H3K27ac,SEACR_Relaxed,1158243,33925,66.31,2.93
SRR31972742,H3K27ac,MACS2,27261,20869,40.79,76.55
