Sample,Histone_Mark,Tool,Total_Peaks,ENCODE_Overlap,Recall_%,Precision_%
SRR31972717,H3K27me3,MACS2,10974,9108,10.35,83.00
SRR31972717,H3K27me3,GoPeaks,12638,11597,13.18,91.76
SRR31972717,H3K27me3,SEACR_Stringent,8921,7885,8.96,88.39
SRR31972717,H3K27me3,SEACR_Relaxed,977542,540753,614.56,55.32
SRR31972726,H3K27me3,MACS2,36952,32245,36.65,87.26
SRR31972726,H3K27me3,GoPeaks,14377,12975,14.75,90.25
SRR31972726,H3K27me3,SEACR_Stringent,10756,9780,11.11,90.93
SRR31972726,H3K27me3,SEACR_Relaxed,1080881,551037,626.25,50.98
SRR31972730,H3K27me3,MACS2,30786,26399,30.00,85.75
SRR31972730,H3K27me3,GoPeaks,14279,12979,14.75,90.90
SRR31972730,H3K27me3,SEACR_Stringent,10397,9321,10.59,89.65
SRR31972730,H3K27me3,SEACR_Relaxed,1086497,566269,643.56,52.12
SRR31972735,H3K27me3,MACS2,10838,9262,10.53,85.46
SRR31972735,H3K27me3,GoPeaks,11823,10560,12.00,89.32
SRR31972735,H3K27me3,SEACR_Stringent,8389,7501,8.52,89.41
SRR31972735,H3K27me3,SEACR_Relaxed,910779,469348,533.41,51.53
SRR31972738,H3K27me3,MACS2,54067,47790,54.31,88.39
SRR31972739,H3K27me3,MACS2,50938,45054,51.20,88.45
SRR31972738,H3K27me3,GoPeaks,12598,11588,13.17,91.98
SRR31972738,H3K27me3,SEACR_Stringent,9120,8489,9.65,93.08
SRR31972739,H3K27me3,GoPeaks,12475,11486,13.05,92.07
SRR31972739,H3K27me3,SEACR_Stringent,9063,8425,9.57,92.96
SRR31972738,H3K27me3,SEACR_Relaxed,741722,411386,467.54,55.46
SRR31972739,H3K27me3,SEACR_Relaxed,771218,436798,496.42,56.64
SRR31972748,H3K27me3,MACS2,4706,3423,3.89,72.74
SRR31972748,H3K27me3,GoPeaks,12462,11247,12.78,90.25
SRR31972748,H3K27me3,SEACR_Stringent,9339,8019,9.11,85.87
SRR31972748,H3K27me3,SEACR_Relaxed,999135,509922,579.52,51.04
